b'Date,Open,High,Low,Close,Volume,Adj Close
2016-11-11,756.539978,760.780029,750.380005,754.02002,2394000,754.02002
2016-11-10,791.169983,791.169983,752.179993,762.559998,4740100,762.559998
2016-11-09,779.940002,791.22699,771.669983,785.309998,2602700,785.309998
2016-11-08,783.400024,795.632996,780.190002,790.51001,1350800,790.51001
2016-11-07,774.50,785.190002,772.549988,782.52002,1585100,782.52002
2016-11-04,750.659973,770.359985,750.560974,762.02002,2134800,762.02002
2016-11-03,767.25,769.950012,759.030029,762.130005,1943200,762.130005
2016-11-02,778.200012,781.650024,763.450012,768.700012,1872400,768.700012
2016-11-01,782.890015,789.48999,775.539978,783.609985,2406400,783.609985
2016-10-31,795.469971,796.859985,784.00,784.539978,2427300,784.539978
2016-10-28,808.349976,815.48999,793.590027,795.369995,4269900,795.369995
2016-10-27,801.00,803.48999,791.50,795.349976,2749200,795.349976
2016-10-26,806.340027,806.97998,796.320007,799.070007,1647700,799.070007
2016-10-25,816.679993,816.679993,805.140015,807.669983,1576400,807.669983
2016-10-24,804.900024,815.179993,804.820007,813.109985,1697500,813.109985
2016-10-21,795.00,799.50,794.00,799.369995,1266200,799.369995
2016-10-20,803.299988,803.969971,796.030029,796.969971,1757500,796.969971
2016-10-19,798.23999,804.599976,798.030029,801.50,1766800,801.50
2016-10-18,787.849976,801.609985,785.565002,795.26001,2056900,795.26001
2016-10-17,779.799988,785.849976,777.50,779.960022,1093000,779.960022
2016-10-14,781.650024,783.950012,776.00,778.530029,852500,778.530029
'
